Año,Category,Comuna,Pobres,No pobres,Total,Ingreso Autónomo,Ingreso Monetario,Ingresos del trabajo,Ingreso Total,Hombre,Mujer,Hombres,Mujeres,fonasa,ff.aa. y del orden,isapre,ninguno (particular),otro sistema,ACEPTABLE,DEFICITARIO,TOTAL,VIVIENDA ACEPTABLE,VIVIENDA RECUPERABLE,VIVIENDA IRRECUPERABLE,Sin Hacinamiento,Con Hacinamiento,Ponlación nacida en Chile,Población nacida fuera de Chile,Pertenece a algún pueblo originario,No pertenece a ningún pueblo originario,Población con discapacidad,Población sin discapacidad,Participa,No participa,CASEN 2015,Unnamed: 4,Codigo,Comuna ,CASEN 2011,CASEN 2015.1,CASEN 2011.1,CASEN 2013,CASEN 2011.2,CASEN 2013.1,Unnamed: 10,Tasa Mort,no sabe,No sabe
2017,POBREZA DE INGRESOS,San José de Maipo,5.990317,94.009683,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Colina,6.395853,93.604147,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Lampa,3.607469,96.392531,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Tiltil,6.79488,93.20512,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,San Bernardo,9.424567,90.575433,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Buin,8.040875,91.959125,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Calera de Tango,3.529564,96.470436,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Paine,4.239802,95.760198,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Melipilla,5.167612,94.832388,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Alhué,6.712936999999999,93.287063,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Curacaví,7.438832,92.561168,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,María Pinto,10.800503,89.199497,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,San Pedro,9.271245,90.728755,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Talagante,3.7078699999999998,96.29213,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,El Monte,8.728387,91.271613,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Isla de Maipo,8.332956,91.667044,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Padre Hurtado,8.775394,91.224606,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Peñaflor,4.890097,95.109903,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA DE INGRESOS,Región Metropolitana,5.3717346581661864,94.62826534183381,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Santiago,9.628715,90.371285,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Cerrillos,27.421767000000003,72.578233,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Cerro Navia,34.635698999999995,65.36430100000001,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Conchalí,29.371744,70.628256,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,El Bosque,22.650157,77.34984299999999,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Estación Central,23.454908999999997,76.545091,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Huechuraba,28.84373,71.15627,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Independencia,20.910529,79.089471,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,La Cisterna,17.820372000000003,82.179628,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,La Florida,18.990417,81.00958299999999,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,La Granja,21.910373999999997,78.08962600000001,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,La Pintana,32.73877,67.26123,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,La Reina,6.936215,93.063785,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Las Condes,4.23259,95.76741,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Lo Barnechea,17.182713999999997,82.817286,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Lo Espejo,37.501351,62.498649,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Lo Prado,24.484662,75.515338,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Macul,13.472951,86.527049,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Maipú,13.220459000000002,86.779541,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Ñuñoa,5.7618160000000005,94.238184,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Pedro Aguirre Cerda,26.762879,73.237121,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Peñalolén,26.276122,73.723878,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Providencia,3.3835480000000002,96.616452,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Pudahuel,22.505142,77.494858,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Quilicura,17.923171,82.076829,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Quinta Normal,23.482269,76.517731,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Recoleta,22.503532,77.496468,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Renca,24.522084,75.477916,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,San Joaquín,21.101154,78.89884599999999,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,San Miguel,17.245068999999997,82.754931,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,San Ramón,27.939963000000002,72.060037,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Vitacura,3.482807,96.517193,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Puente Alto,23.313428,76.686572,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Pirque,20.32582,79.67418,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,San José de Maipo,23.993066,76.006934,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Colina,25.462612,74.53738799999999,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Lampa,25.755729,74.244271,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Tiltil,23.666076999999998,76.333923,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,San Bernardo,26.069268,73.930732,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Buin,24.929631999999998,75.070368,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Calera de Tango,22.060073,77.939927,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Paine,22.330431,77.669569,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Melipilla,24.922144,75.077856,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Alhué,20.279452,79.72054800000001,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Curacaví,22.553595,77.446405,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,María Pinto,33.142473,66.857527,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,San Pedro,31.838821,68.161179,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Talagante,21.327123,78.672877,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,El Monte,33.670084,66.329916,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Isla de Maipo,27.242941,72.757059,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Padre Hurtado,21.615951,78.384049,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Peñaflor,13.461507000000001,86.538493,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,POBREZA MULTIDIMENSIONAL,Región Metropolitana,19.97706933681244,80.02293066318755,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Santiago,,,,1277932.5,1284814.0,NA,1396037.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Cerrillos,,,,733942.88,777258.07,NA,950566.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Cerro Navia,,,,680991.4,720384.47,NA,909464.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Conchalí,,,,828881.28,858781.66,NA,1053576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,El Bosque,,,,799306.52,828100.43,NA,1004100.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Estación Central,,,,808985.28,829623.73,NA,1009343.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Huechuraba,,,,776627.97,809882.49,NA,1009026.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Independencia,,,,838953.32,846564.11,NA,907675.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,La Cisterna,,,,1040394.6,1067755.2,NA,1279363.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,La Florida,,,,1096684.7,1125021.8,NA,1347567.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,La Granja,,,,671222.6,710371.26,NA,906749.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,La Pintana,,,,582820.49,626952.56,NA,786364.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,La Reina,,,,2620334.1,2633035.8,NA,3084496.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Las Condes,,,,3204433.6,3214848.4,NA,3740722.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Lo Barnechea,,,,1939316.6,1958438.5,NA,2347752.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Lo Espejo,,,,713782.23,758790.58,NA,940100.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Lo Prado,,,,730510.67,765232.05,NA,941503.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Macul,,,,979561.82,1007477.6,NA,1224533.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Maipú,,,,1005542.3,1028731.9,NA,1257846.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Ñuñoa,,,,2207594.2,2218250.2,NA,2515029.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Pedro Aguirre Cerda,,,,853837.17,887259.44,NA,1083709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Peñalolén,,,,1484018.6,1513071.2,NA,1770248.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Providencia,,,,2790339.6,2799941.9,NA,3127064.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Pudahuel,,,,783892.54,808734.27,NA,988608.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Quilicura,,,,818472.23,835727.29,NA,1012566.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Quinta Normal,,,,841743.95,868650.19,NA,1051135.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Recoleta,,,,828462.04,856317.74,NA,1028704.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Renca,,,,795035.83,832487.19,NA,1012574.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,San Joaquín,,,,695970.42,725274.67,NA,891479.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,San Miguel,,,,1191438.6,1214650.3,NA,1448009.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,San Ramón,,,,665266.56,714300.34,NA,894690.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Vitacura,,,,4362533.6,4369433.1,NA,5000103.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Puente Alto,,,,840654.64,860623.17,NA,1061137.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Pirque,,,,1403653.5,1427466.7,NA,1824155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
