CODIGO,COMUNA,HOMBRE,MUJER,INDETERMINADO,TOTAL,Category,A,B,C,D,00 a 02 años,03 a 04 años,05 a 09 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,Más de 99 años,S.I.,Total general
13403,CALERA DE TANGO,9918.0,10345.0,1.0,20264.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13404,PAINE,35846.0,36809.0,2.0,72657.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501,MELIPILLA,61445.0,65647.0,7.0,127099.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13502,ALHUÉ,4463.0,4360.0,,8823.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13503,CURACAVÍ,13144.0,14247.0,1.0,27392.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13504,MARÍA PINTO,7580.0,8162.0,1.0,15743.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13505,SAN PEDRO,6378.0,6566.0,6.0,12950.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13601,TALAGANTE,29894.0,32718.0,3.0,62615.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13602,EL MONTE,17071.0,17449.0,,34520.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13603,ISLA DE MAIPO,17236.0,17762.0,,34998.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13604,PADRE HURTADO,28122.0,31307.0,1.0,59430.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13605,PEÑAFLOR,40278.0,43549.0,4.0,83831.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total general,,2806878.0,3164829.0,540.0,5972247.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13101,SANTIAGO,,,,346349.0,TRAMO FONASA,64979.0,116808.0,63722.0,100840.0,,,,,,,,,,,,,,,,,,,,,,,,
13102,CERRILLOS,,,,61963.0,TRAMO FONASA,11619.0,23146.0,10566.0,16632.0,,,,,,,,,,,,,,,,,,,,,,,,
13103,CERRO NAVIA,,,,126226.0,TRAMO FONASA,27276.0,48705.0,20888.0,29357.0,,,,,,,,,,,,,,,,,,,,,,,,
13104,CONCHALÍ,,,,123445.0,TRAMO FONASA,21676.0,48579.0,21440.0,31750.0,,,,,,,,,,,,,,,,,,,,,,,,
13105,EL BOSQUE,,,,175362.0,TRAMO FONASA,37661.0,68764.0,28364.0,40573.0,,,,,,,,,,,,,,,,,,,,,,,,
13106,ESTACIÓN CENTRAL,,,,126042.0,TRAMO FONASA,27750.0,42376.0,23016.0,32900.0,,,,,,,,,,,,,,,,,,,,,,,,
13107,HUECHURABA,,,,75260.0,TRAMO FONASA,14716.0,29144.0,12583.0,18817.0,,,,,,,,,,,,,,,,,,,,,,,,
13108,INDEPENDENCIA,,,,110780.0,TRAMO FONASA,27457.0,36759.0,19390.0,27174.0,,,,,,,,,,,,,,,,,,,,,,,,
