CODIGO,COMUNA,HOMBRE,MUJER,INDETERMINADO,TOTAL,Category,A,B,C,D,00 a 02 años,03 a 04 años,05 a 09 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,Más de 99 años,S.I.,Total general
13203,SAN JOSÉ DE MAIPO,,,,,TRAMO EDAD,,,,,260.0,254.0,684.0,754.0,781.0,802.0,825.0,903.0,795.0,780.0,758.0,748.0,742.0,764.0,660.0,453.0,363.0,227.0,115.0,51.0,14.0,1.0,1.0,11735.0
13301,COLINA,,,,,TRAMO EDAD,,,,,3689.0,2762.0,8155.0,8714.0,8313.0,8331.0,9613.0,10281.0,9464.0,8464.0,7394.0,7282.0,6290.0,5364.0,4279.0,2951.0,1934.0,1087.0,580.0,216.0,58.0,24.0,14.0,115259.0
13302,LAMPA,,,,,TRAMO EDAD,,,,,3335.0,2597.0,7141.0,6943.0,6511.0,6271.0,6948.0,7623.0,6863.0,6211.0,5162.0,4850.0,4370.0,3796.0,2976.0,1913.0,1335.0,827.0,410.0,158.0,52.0,12.0,13.0,86317.0
13303,TILTIL,,,,,TRAMO EDAD,,,,,484.0,381.0,1188.0,1037.0,1235.0,1196.0,1326.0,1371.0,1163.0,1015.0,881.0,985.0,1043.0,972.0,817.0,584.0,417.0,249.0,152.0,55.0,12.0,2.0,5.0,16570.0
13401,SAN BERNARDO,,,,,TRAMO EDAD,,,,,7339.0,5615.0,17543.0,19036.0,18280.0,19165.0,21000.0,21123.0,18670.0,17163.0,15076.0,16196.0,15485.0,14250.0,11728.0,8212.0,6108.0,3686.0,1753.0,804.0,231.0,82.0,80.0,258625.0
13402,BUIN,,,,,TRAMO EDAD,,,,,3030.0,2174.0,6692.0,6896.0,6627.0,6941.0,7497.0,8432.0,7890.0,6994.0,6116.0,5983.0,5756.0,5360.0,4150.0,2894.0,2112.0,1360.0,723.0,328.0,76.0,21.0,15.0,98067.0
13403,CALERA DE TANGO,,,,,TRAMO EDAD,,,,,553.0,414.0,1293.0,1414.0,1345.0,1337.0,1533.0,1639.0,1416.0,1365.0,1271.0,1280.0,1312.0,1254.0,1005.0,750.0,474.0,313.0,174.0,94.0,19.0,6.0,3.0,20264.0
13404,PAINE,,,,,TRAMO EDAD,,,,,2148.0,1630.0,4839.0,5204.0,4904.0,5133.0,5437.0,6059.0,5495.0,5102.0,4567.0,4413.0,4451.0,4041.0,3293.0,2342.0,1703.0,1065.0,516.0,233.0,67.0,10.0,5.0,72657.0
13501,MELIPILLA,,,,,TRAMO EDAD,,,,,4170.0,3085.0,8428.0,8626.0,8148.0,8753.0,9952.0,10362.0,9522.0,8586.0,7512.0,7068.0,7432.0,7009.0,6181.0,4626.0,3447.0,2325.0,1219.0,462.0,135.0,33.0,18.0,127099.0
13502,ALHUÉ,,,,,TRAMO EDAD,,,,,287.0,181.0,504.0,511.0,513.0,574.0,805.0,828.0,754.0,641.0,552.0,552.0,475.0,461.0,386.0,294.0,202.0,156.0,90.0,35.0,11.0,5.0,6.0,8823.0
13503,CURACAVÍ,,,,,TRAMO EDAD,,,,,795.0,579.0,1829.0,1826.0,1799.0,1850.0,1962.0,2093.0,1897.0,1694.0,1574.0,1555.0,1852.0,1778.0,1437.0,1085.0,787.0,541.0,306.0,113.0,34.0,3.0,3.0,27392.0
13504,MARÍA PINTO,,,,,TRAMO EDAD,,,,,449.0,369.0,1035.0,1124.0,1049.0,1031.0,1098.0,1185.0,1143.0,1012.0,924.0,945.0,986.0,972.0,828.0,596.0,463.0,277.0,165.0,67.0,22.0,2.0,1.0,15743.0
13505,SAN PEDRO,,,,,TRAMO EDAD,,,,,470.0,338.0,888.0,879.0,832.0,921.0,1127.0,988.0,971.0,792.0,718.0,706.0,723.0,653.0,626.0,488.0,347.0,257.0,149.0,58.0,13.0,5.0,1.0,12950.0
13601,TALAGANTE,,,,,TRAMO EDAD,,,,,1635.0,1262.0,4087.0,4353.0,4229.0,4199.0,4869.0,5139.0,4587.0,4140.0,3666.0,3755.0,4053.0,3886.0,3136.0,2141.0,1571.0,1045.0,530.0,229.0,76.0,18.0,9.0,62615.0
13602,EL MONTE,,,,,TRAMO EDAD,,,,,959.0,687.0,2328.0,2575.0,2348.0,2319.0,2614.0,2799.0,2734.0,2347.0,2102.0,2044.0,2135.0,1985.0,1553.0,1122.0,853.0,558.0,288.0,128.0,30.0,5.0,7.0,34520.0
13603,ISLA DE MAIPO,,,,,TRAMO EDAD,,,,,916.0,728.0,2267.0,2491.0,2378.0,2470.0,2661.0,2784.0,2636.0,2307.0,2150.0,2139.0,2223.0,2035.0,1672.0,1177.0,907.0,546.0,286.0,154.0,49.0,10.0,12.0,34998.0
13604,PADRE HURTADO,,,,,TRAMO EDAD,,,,,1865.0,1351.0,4369.0,4366.0,3973.0,4119.0,4567.0,5053.0,4743.0,4008.0,3682.0,3477.0,3568.0,3148.0,2396.0,1878.0,1307.0,850.0,448.0,195.0,49.0,11.0,7.0,59430.0
13605,PEÑAFLOR,,,,,TRAMO EDAD,,,,,2007.0,1670.0,5483.0,5833.0,5918.0,6024.0,6699.0,6471.0,5762.0,5142.0,5239.0,5605.0,5264.0,4982.0,3906.0,2949.0,2201.0,1476.0,737.0,331.0,106.0,20.0,6.0,83831.0
Total general,,,,,,TRAMO EDAD,,,,,152900.0,118836.0,362042.0,379199.0,369011.0,406280.0,484516.0,523052.0,460604.0,402537.0,356962.0,364940.0,363526.0,353314.0,288697.0,212391.0,162425.0,109068.0,58785.0,28989.0,9226.0,2576.0,2371.0,5972247.0
